CALL_MAN,SIMPLE_RANGE,SIMPLE_RANGE,EXPECTATION,EXPECTATION
0,33750,100,15900,250
0,33750,100,15900,250
0,34050,100,15600,250
0,34050,100,15600,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33150,100,16500,250
0,33150,100,16500,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33150,100,16500,250
0,33150,100,16500,250
0,32850,100,16800,250
0,32850,100,16800,250
0,32850,100,16800,250
0,33150,100,16500,250
0,33150,100,16500,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33150,100,16500,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33750,100,15900,250
0,33750,100,15900,250
0,33750,100,15900,250
0,34050,100,15600,250
0,34050,100,15600,250
0,33750,100,15900,250
0,33750,100,15900,250
0,33750,100,15900,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33750,100,15900,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32850,100,16800,250
0,32850,100,16800,250
0,33150,100,16500,250
0,33150,100,16500,250
0,33150,100,16500,250
0,32850,100,16800,250
0,32850,100,16800,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32850,100,16800,250
0,32850,100,16800,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32250,100,17400,250
0,32250,100,17400,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32250,100,17400,250
0,32250,100,17400,250
0,32850,100,16800,250
0,32850,100,16800,250
0,32850,100,16800,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32850,100,16800,250
0,32850,100,16800,250
0,33150,100,16500,250
0,33150,100,16500,250
0,33150,100,16500,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33750,100,15900,250
0,33750,100,15900,250
0,33750,100,15900,250
0,33750,100,15900,250
0,33750,100,15900,250
0,33750,100,15900,250
0,35550,100,14100,250
0,35550,100,14100,250
0,35850,100,13800,250
0,35850,100,13800,250
0,35550,100,14100,250
0,35550,100,14100,250
0,35550,100,14100,250
0,35250,100,14400,250
0,35250,100,14400,250
0,35250,100,14400,250
0,35250,100,14400,250
0,34650,100,15000,250
0,34350,100,15300,250
0,34350,100,15300,250
