EXPECTATION_CHECK,EXPECTATION_CHECK,EXPECTATION_CHECK,EXPECTATION,EXPECTATION
100,26800,0,23000,100
100,26800,0,23000,100
100,28300,0,21500,100
100,28300,0,21500,100
100,28300,0,21500,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28300,0,21500,100
100,28300,0,21500,100
100,28300,0,21500,100
100,28000,0,21800,100
100,28000,0,21800,100
100,26500,0,23300,100
100,26500,0,23300,100
100,26500,0,23300,100
100,26200,0,23600,100
100,26200,0,23600,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26500,0,23300,100
100,26500,0,23300,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26800,0,23000,100
100,27100,0,22700,100
100,27100,0,22700,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27700,0,22100,100
100,28300,0,21500,100
100,28300,0,21500,100
100,28600,0,21200,100
100,28600,0,21200,100
100,28600,0,21200,100
100,29200,0,20600,100
100,29200,0,20600,100
100,28900,0,20900,100
100,28900,0,20900,100
100,28900,0,20900,100
100,29500,0,20300,100
100,29500,0,20300,100
100,29200,0,20600,100
100,29200,0,20600,100
100,29200,0,20600,100
100,28900,0,20900,100
100,28900,0,20900,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27100,0,22700,100
100,27100,0,22700,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26500,0,23300,100
100,26500,0,23300,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26800,0,23000,100
100,28000,0,21800,100
100,28000,0,21800,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27700,0,22100,100
100,28300,0,21500,100
100,28300,0,21500,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28000,0,21800,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27700,0,22100,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28000,0,21800,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27100,0,22700,100
100,27100,0,22700,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26800,0,23000,100
100,27100,0,22700,100
100,27100,0,22700,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25300,0,24500,100
100,25300,0,24500,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25000,0,24800,100
100,26500,0,23300,100
100,26500,0,23300,100
100,26500,0,23300,100
100,26500,0,23300,100
100,26500,0,23300,100
100,26800,0,23000,100
100,26800,0,23000,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25900,0,23900,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24400,0,25400,100
100,24400,0,25400,100
100,22900,0,26900,100
100,22900,0,26900,100
100,22900,0,26900,100
100,22600,0,27200,100
100,22600,0,27200,100
100,22900,0,26900,100
100,22900,0,26900,100
100,22900,0,26900,100
100,22600,0,27200,100
100,22600,0,27200,100
100,22900,0,26900,100
100,22900,0,26900,100
100,22900,0,26900,100
100,22600,0,27200,100
100,22600,0,27200,100
100,22300,0,27500,100
100,22300,0,27500,100
100,22300,0,27500,100
100,22000,0,27800,100
100,22000,0,27800,100
100,22300,0,27500,100
100,22300,0,27500,100
100,22300,0,27500,100
100,22000,0,27800,100
100,22000,0,27800,100
100,21700,0,28100,100
100,21700,0,28100,100
100,21700,0,28100,100
100,21100,0,28700,100
100,21100,0,28700,100
100,20800,0,29000,100
100,20800,0,29000,100
100,20800,0,29000,100
100,20500,0,29300,100
100,20500,0,29300,100
100,20800,0,29000,100
100,20800,0,29000,100
100,20800,0,29000,100
100,21400,0,28400,100
100,21400,0,28400,100
100,22600,0,27200,100
100,22600,0,27200,100
100,22600,0,27200,100
100,23200,0,26600,100
100,23200,0,26600,100
100,23500,0,26300,100
100,23500,0,26300,100
100,23500,0,26300,100
100,23200,0,26600,100
100,23200,0,26600,100
100,23500,0,26300,100
100,23500,0,26300,100
100,23500,0,26300,100
100,23200,0,26600,100
100,23200,0,26600,100
100,23500,0,26300,100
100,23500,0,26300,100
100,23500,0,26300,100
100,23200,0,26600,100
100,23200,0,26600,100
100,23500,0,26300,100
100,23500,0,26300,100
100,23500,0,26300,100
100,22900,0,26900,100
100,22900,0,26900,100
100,22600,0,27200,100
100,22600,0,27200,100
100,22600,0,27200,100
100,23200,0,26600,100
100,23200,0,26600,100
100,23500,0,26300,100
100,23500,0,26300,100
100,23500,0,26300,100
100,23800,0,26000,100
100,23800,0,26000,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24100,0,25700,100
100,23800,0,26000,100
100,23800,0,26000,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24100,0,25700,100
100,23800,0,26000,100
100,23800,0,26000,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,24700,0,25100,100
100,24700,0,25100,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25000,0,24800,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24400,0,25400,100
100,25000,0,24800,100
100,25000,0,24800,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24400,0,25400,100
100,24400,0,25400,100
100,22900,0,26900,100
100,22900,0,26900,100
100,22900,0,26900,100
100,22600,0,27200,100
100,22600,0,27200,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,25000,0,24800,100
100,25000,0,24800,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24700,0,25100,100
100,24700,0,25100,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,26200,0,23600,100
100,26200,0,23600,100
100,26200,0,23600,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25600,0,24200,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24400,0,25400,100
100,23800,0,26000,100
100,23800,0,26000,100
100,23200,0,26600,100
100,23200,0,26600,100
100,23200,0,26600,100
100,23800,0,26000,100
100,23800,0,26000,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24400,0,25400,100
100,24400,0,25400,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24400,0,25400,100
100,24400,0,25400,100
100,24400,0,25400,100
100,23800,0,26000,100
100,23800,0,26000,100
100,24100,0,25700,100
100,24100,0,25700,100
100,24100,0,25700,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25900,0,23900,100
100,25900,0,23900,100
100,26200,0,23600,100
100,26200,0,23600,100
100,26200,0,23600,100
100,25900,0,23900,100
100,25900,0,23900,100
100,27100,0,22700,100
100,27100,0,22700,100
100,27100,0,22700,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26200,0,23600,100
100,26200,0,23600,100
100,26200,0,23600,100
100,26500,0,23300,100
100,26500,0,23300,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,23800,0,26000,100
100,23800,0,26000,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25000,0,24800,100
100,25000,0,24800,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25900,0,23900,100
100,26200,0,23600,100
100,26200,0,23600,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26500,0,23300,100
100,26500,0,23300,100
100,26200,0,23600,100
100,26200,0,23600,100
100,26200,0,23600,100
100,26500,0,23300,100
100,26500,0,23300,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25900,0,23900,100
100,26500,0,23300,100
100,26500,0,23300,100
100,27100,0,22700,100
100,27100,0,22700,100
100,27100,0,22700,100
100,27700,0,22100,100
100,27700,0,22100,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26800,0,23000,100
100,27100,0,22700,100
100,27100,0,22700,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27700,0,22100,100
100,27700,0,22100,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27100,0,22700,100
100,27100,0,22700,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26800,0,23000,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25000,0,24800,100
100,25000,0,24800,100
100,24700,0,25100,100
100,24700,0,25100,100
100,24700,0,25100,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,26200,0,23600,100
100,26200,0,23600,100
100,26200,0,23600,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25000,0,24800,100
100,25000,0,24800,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25300,0,24500,100
100,25600,0,24200,100
100,25600,0,24200,100
100,25900,0,23900,100
100,25900,0,23900,100
100,25900,0,23900,100
100,26200,0,23600,100
100,26200,0,23600,100
100,26800,0,23000,100
100,26800,0,23000,100
100,26800,0,23000,100
100,27100,0,22700,100
100,27100,0,22700,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27400,0,22400,100
100,27700,0,22100,100
100,27700,0,22100,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28300,0,21500,100
100,28300,0,21500,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28000,0,21800,100
100,27700,0,22100,100
100,27700,0,22100,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28000,0,21800,100
100,28300,0,21500,100
100,28300,0,21500,100
100,28300,0,21500,100
100,28000,0,21800,100
100,28000,0,21800,100
100,29200,0,20600,100
100,29200,0,20600,100
100,29200,0,20600,100
100,29500,0,20300,100
100,29500,0,20300,100
100,29200,0,20600,100
100,29200,0,20600,100
100,29200,0,20600,100
100,28900,0,20900,100
100,28900,0,20900,100
100,29200,0,20600,100
100,29200,0,20600,100
100,29200,0,20600,100
100,29500,0,20300,100
100,29500,0,20300,100
100,30400,0,19400,100
100,30400,0,19400,100
100,30400,0,19400,100
100,30700,0,19100,100
100,30700,0,19100,100
100,30400,0,19400,100
100,30400,0,19400,100
100,30400,0,19400,100
100,30100,0,19700,100
100,30100,0,19700,100
100,29800,0,20000,100
100,29800,0,20000,100
100,29800,0,20000,100
100,30400,0,19400,100
100,30400,0,19400,100
100,31900,0,17900,100
100,31900,0,17900,100
100,31900,0,17900,100
100,31600,0,18200,100
100,31600,0,18200,100
100,31900,0,17900,100
100,31900,0,17900,100
100,31900,0,17900,100
100,31600,0,18200,100
100,31600,0,18200,100
100,31900,0,17900,100
100,31900,0,17900,100
100,31900,0,17900,100
100,32200,0,17600,100
100,32200,0,17600,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32500,0,17300,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33100,0,16700,100
100,33100,0,16700,100
100,32800,0,17000,100
100,32800,0,17000,100
100,32800,0,17000,100
100,32500,0,17300,100
100,32500,0,17300,100
100,31900,0,17900,100
100,31900,0,17900,100
100,31900,0,17900,100
100,31600,0,18200,100
100,31600,0,18200,100
100,32200,0,17600,100
100,32200,0,17600,100
100,32200,0,17600,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32800,0,17000,100
100,32800,0,17000,100
100,32800,0,17000,100
100,32800,0,17000,100
100,32800,0,17000,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33100,0,16700,100
100,32800,0,17000,100
100,32800,0,17000,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33100,0,16700,100
100,34000,0,15800,100
100,34000,0,15800,100
100,34300,0,15500,100
100,34300,0,15500,100
100,34300,0,15500,100
100,34300,0,15500,100
100,34300,0,15500,100
100,34000,0,15800,100
100,34000,0,15800,100
100,34000,0,15800,100
100,33700,0,16100,100
100,33700,0,16100,100
100,34300,0,15500,100
100,34300,0,15500,100
100,34300,0,15500,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34900,0,14900,100
100,35200,0,14600,100
100,35200,0,14600,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34900,0,14900,100
100,35200,0,14600,100
100,35200,0,14600,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35200,0,14600,100
100,35200,0,14600,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34900,0,14900,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35800,0,14000,100
100,35800,0,14000,100
100,35800,0,14000,100
100,36100,0,13700,100
100,36100,0,13700,100
100,35800,0,14000,100
100,35800,0,14000,100
100,35800,0,14000,100
100,34300,0,15500,100
100,34300,0,15500,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34300,0,15500,100
100,34300,0,15500,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33700,0,16100,100
100,34000,0,15800,100
100,34000,0,15800,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33100,0,16700,100
100,33100,0,16700,100
100,32800,0,17000,100
100,32800,0,17000,100
100,32800,0,17000,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33700,0,16100,100
100,34000,0,15800,100
100,34000,0,15800,100
100,32800,0,17000,100
100,32800,0,17000,100
100,32800,0,17000,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32800,0,17000,100
100,32800,0,17000,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32200,0,17600,100
100,32200,0,17600,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32200,0,17600,100
100,32200,0,17600,100
100,31600,0,18200,100
100,31600,0,18200,100
100,31600,0,18200,100
100,31600,0,18200,100
100,31600,0,18200,100
100,31900,0,17900,100
100,31900,0,17900,100
100,31900,0,17900,100
100,31600,0,18200,100
100,31600,0,18200,100
100,31300,0,18500,100
100,31300,0,18500,100
100,31300,0,18500,100
100,31900,0,17900,100
100,31900,0,17900,100
100,32200,0,17600,100
100,32200,0,17600,100
100,32200,0,17600,100
100,31900,0,17900,100
100,31900,0,17900,100
100,32200,0,17600,100
100,32200,0,17600,100
100,32200,0,17600,100
100,31900,0,17900,100
100,31900,0,17900,100
100,32200,0,17600,100
100,32200,0,17600,100
100,32200,0,17600,100
100,31600,0,18200,100
100,31600,0,18200,100
100,31900,0,17900,100
100,31900,0,17900,100
100,31900,0,17900,100
100,32200,0,17600,100
100,32200,0,17600,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33400,0,16400,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34300,0,15500,100
100,34300,0,15500,100
100,35200,0,14600,100
100,35200,0,14600,100
100,35200,0,14600,100
100,34900,0,14900,100
100,34900,0,14900,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35800,0,14000,100
100,35800,0,14000,100
100,36100,0,13700,100
100,36100,0,13700,100
100,36100,0,13700,100
100,35800,0,14000,100
100,35800,0,14000,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34900,0,14900,100
100,35200,0,14600,100
100,35200,0,14600,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35200,0,14600,100
100,35200,0,14600,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34900,0,14900,100
100,35200,0,14600,100
100,35200,0,14600,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35800,0,14000,100
100,35800,0,14000,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35200,0,14600,100
100,35200,0,14600,100
100,35500,0,14300,100
100,35500,0,14300,100
100,35500,0,14300,100
100,34000,0,15800,100
100,34000,0,15800,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33700,0,16100,100
100,34000,0,15800,100
100,34000,0,15800,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34300,0,15500,100
100,34300,0,15500,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33700,0,16100,100
100,34000,0,15800,100
100,34000,0,15800,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33700,0,16100,100
100,34300,0,15500,100
100,34300,0,15500,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34000,0,15800,100
100,34000,0,15800,100
100,34000,0,15800,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34900,0,14900,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34600,0,15200,100
100,34000,0,15800,100
100,34000,0,15800,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33700,0,16100,100
100,34000,0,15800,100
100,34000,0,15800,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33400,0,16400,100
100,32800,0,17000,100
100,32800,0,17000,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33100,0,16700,100
100,33100,0,16700,100
100,33100,0,16700,100
100,32800,0,17000,100
100,32800,0,17000,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32200,0,17600,100
100,32200,0,17600,100
100,32200,0,17600,100
100,31900,0,17900,100
100,31900,0,17900,100
100,32200,0,17600,100
100,32200,0,17600,100
100,32200,0,17600,100
100,31900,0,17900,100
100,31900,0,17900,100
100,32500,0,17300,100
100,32500,0,17300,100
100,32500,0,17300,100
100,33700,0,16100,100
100,33700,0,16100,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33400,0,16400,100
100,33100,0,16700,100
100,33100,0,16700,100
100,32800,0,170,
